smiles,logSolubility,ROMol,n_Atoms
NC(N)=S,0.32,<rdkit.Chem.rdchem.Mol object at 0x15206cc99970>,4
Cc1ccc(C)cc1,-2.77,<rdkit.Chem.rdchem.Mol object at 0x15206cc999e0>,8
CCc1ccccc1CC,-3.28,<rdkit.Chem.rdchem.Mol object at 0x15206cc99a50>,10
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,<rdkit.Chem.rdchem.Mol object at 0x15206cc99ac0>,8
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876,<rdkit.Chem.rdchem.Mol object at 0x15206cc99b30>,33
CCC[N+](=O)[O-],-0.8,<rdkit.Chem.rdchem.Mol object at 0x15206cc99ba0>,6
CC1CCC(C(C)C)C(=O)C1,-2.35,<rdkit.Chem.rdchem.Mol object at 0x15206cc99c10>,11
CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36,<rdkit.Chem.rdchem.Mol object at 0x15206cc99c80>,19
O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,<rdkit.Chem.rdchem.Mol object at 0x15206cc99cf0>,11
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,<rdkit.Chem.rdchem.Mol object at 0x15206cc99d60>,17
c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,<rdkit.Chem.rdchem.Mol object at 0x15206cc99dd0>,16
CCCOC(C)C,-1.34,<rdkit.Chem.rdchem.Mol object at 0x15206cc99e40>,7
Cc1cc(C)c2ccccc2c1,-4.29,<rdkit.Chem.rdchem.Mol object at 0x15206cc99eb0>,12
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07,<rdkit.Chem.rdchem.Mol object at 0x15206cc99f20>,20
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,<rdkit.Chem.rdchem.Mol object at 0x15206cc99f90>,14
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a040>,16
c1ccc(C2CO2)cc1,-1.6,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a0b0>,9
CC(C)c1ccccc1,-3.27,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a120>,9
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a190>,24
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a200>,14
OC1COC(O)C(O)C1O,0.39,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a270>,10
ClCCl,-0.63,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a2e0>,3
CCc1cccc2ccccc12,-4.17,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a350>,12
COC=O,0.58,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a3c0>,4
O=[N+]([O-])c1ccccc1O,-1.74,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a430>,10
Cc1c[nH]c(=O)[nH]c1=O,-1.506,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a4a0>,9
CC(C)C,-2.55,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a510>,4
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a580>,19
N#Cc1cc(I)c(O)c(I)c1,-3.61,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a5f0>,11
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a660>,21
CCCCC,-3.18,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a6d0>,5
Oc1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a740>,7
Nc1ccc2cc3ccccc3cc2c1,-5.17,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a7b0>,15
Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a820>,13
c1ccc2cnccc2c1,-1.45,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a890>,10
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a900>,21
CCCCCCc1ccccc1,-5.21,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a970>,12
Clc1ccccc1-c1ccccc1,-4.54,<rdkit.Chem.rdchem.Mol object at 0x15206cc9a9e0>,13
C=C(C)CCC,-3.03,<rdkit.Chem.rdchem.Mol object at 0x15206cc9aa50>,6
CC(C)C(C)C(C)C,-4.8,<rdkit.Chem.rdchem.Mol object at 0x15206cc9aac0>,8
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ab30>,11
O=[N+]([O-])c1cccc(O)c1,-1.01,<rdkit.Chem.rdchem.Mol object at 0x15206cc9aba0>,10
C=CCCCCCCCC,-5.51,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ac10>,10
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ac80>,15
CCCCc1c(C)nc(N(C)C)nc1O,-2.24,<rdkit.Chem.rdchem.Mol object at 0x15206cc9acf0>,15
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.3370000000000015,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ad60>,29
c1ccncc1,0.76,<rdkit.Chem.rdchem.Mol object at 0x15206cc9add0>,6
CCCCCCCBr,-4.43,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ae40>,8
Cc1ccncc1C,0.36,<rdkit.Chem.rdchem.Mol object at 0x15206cc9aeb0>,8
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,<rdkit.Chem.rdchem.Mol object at 0x15206cc9af20>,27
CCSCc1ccccc1OC(=O)NC,-2.09,<rdkit.Chem.rdchem.Mol object at 0x15206cc9af90>,15
CCOC(=O)CC(=O)OCC,-0.82,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b040>,11
C=C(C)C1CC=C(C)CC1,-4.26,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b0b0>,10
c1ccc2c(c1)CCC2,-3.04,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b120>,9
CC(C)(C)c1ccc(O)cc1,-2.41,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b190>,11
O=C1NC(=O)C2(CC2)C(=O)N1,-1.886,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b200>,11
Clc1cccc(I)c1,-3.55,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b270>,8
Brc1cccc2ccccc12,-4.35,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b2e0>,11
C/C=C/CC,-2.54,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b350>,5
Cc1cccc(C)n1,0.45,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b3c0>,8
ClC=C(Cl)Cl,-1.96,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b430>,5
Nc1cccc2ccccc12,-1.92,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b4a0>,11
Cc1cccc(C)c1,-2.82,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b510>,8
Oc1ncc2nccnc2n1,-1.947,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b580>,11
CO,1.57,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b5f0>,2
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b660>,16
CCC(C)=O,0.52,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b6d0>,5
O=c1[nH]cc(F)c(=O)[nH]1,-1.077,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b740>,9
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b7b0>,19
Oc1cccc(O)c1,0.81,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b820>,8
CCCCCCO,-1.24,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b890>,7
CCCCCCl,-2.73,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b900>,6
C=CC=C,-1.87,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b970>,4
CCCOC(C)=O,-0.72,<rdkit.Chem.rdchem.Mol object at 0x15206cc9b9e0>,7
Oc1ccc2c(c1)CCCC2,-1.99,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ba50>,11
NC(=O)CCl,-0.02,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bac0>,5
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bb30>,16
Cc1ccc(Cl)cc1,-3.08,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bba0>,8
CSc1nnc(C(C)(C)C)c(=O)n1N,-2.253,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bc10>,14
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bc80>,26
CCCCCC=O,-1.3,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bcf0>,7
CCCCOC(=O)c1ccc(N)cc1,-3.082,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bd60>,14
Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bdd0>,19
CC(C)=CCC/C(C)=C\CO,-2.46,<rdkit.Chem.rdchem.Mol object at 0x15206cc9be40>,11
Clc1ccc(-c2ccccc2Cl)cc1,-5.28,<rdkit.Chem.rdchem.Mol object at 0x15206cc9beb0>,14
CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bf20>,30
CC[N+](=O)[O-],-0.22,<rdkit.Chem.rdchem.Mol object at 0x15206cc9bf90>,5
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c040>,23
Clc1ccc(Cl)c(Cl)c1Cl,-4.57,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c0b0>,10
CCCC(C)(COC(N)=O)COC(N)=O,-1.807,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c120>,15
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c190>,23
CI,-1.0,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c200>,2
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c270>,20
CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c2e0>,29
CC1=CC(=O)CC(C)(C)C1,-1.06,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c350>,10
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c3c0>,15
CCCCC(=O)CCCC,-2.58,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c430>,10
CCC1(c2ccccc2)CCC(=O)NC1=O,-2.337,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c4a0>,16
CCC(C)CC,-3.68,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c510>,6
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c580>,28
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c5f0>,19
N#CCCl,-0.092,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c660>,4
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000002,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c6d0>,17
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c740>,23
c1ccnnc1,1.1,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c7b0>,6
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c820>,10
CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c890>,30
Nc1ccccc1O,-0.72,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c900>,8
CCCCCCCCC(=O)OCC,-3.8,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c970>,13
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601,<rdkit.Chem.rdchem.Mol object at 0x15206cc9c9e0>,20
CNC(=O)Oc1ccccc1OC(C)C,-2.05,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ca50>,15
CCC(C)Cl,-1.96,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cac0>,5
Oc1ccc2ccccc2c1,-2.28,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cb30>,11
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.6960000000000015,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cba0>,22
C#CCCCC,-2.36,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cc10>,6
C#CCCCCCCC,-4.24,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cc80>,9
Cc1ccccc1Cl,-3.52,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ccf0>,8
CC(C)OC(C)C,-1.1,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cd60>,7
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cdd0>,17
CNN,1.34,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ce40>,3
C#CC,-0.41,<rdkit.Chem.rdchem.Mol object at 0x15206cc9ceb0>,3
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cf20>,19
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,<rdkit.Chem.rdchem.Mol object at 0x15206cc9cf90>,17
C=CC=O,0.57,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d040>,4
O=c1[nH]cnc2nc[nH]c12,-2.296,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d0b0>,10
Oc1ccc2ncccc2c1,-2.16,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d120>,11
Fc1ccccc1,-1.8,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d190>,7
CCCCl,-1.47,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d200>,4
CCOC(C)=O,-0.04,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d270>,6
CCCC(C)(C)C,-4.36,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d2e0>,7
Cc1cc(C)c(C)c(C)c1C,-4.0,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d350>,11
CC12CCC(CC1)C(C)(C)O2,-1.64,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d3c0>,11
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d430>,22
Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d4a0>,14
Cc1cccnc1C,0.38,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d510>,8
C=C(C)C1CC=C(C)C(=O)C1,-2.06,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d580>,11
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.7360000000000015,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d5f0>,18
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d660>,42
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d6d0>,20
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d740>,13
Brc1ccc2ccccc2c1,-4.4,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d7b0>,11
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d820>,16
COc1cnc2ncncc2n1,-1.139,<rdkit.Chem.rdchem.Mol object at 0x15206cc9d890>,12
